"Time Series 1 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 1","Time Series 2","Time Series 2","Time Series 2","Time Series 2","Time Series 2"
3.95,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4.05,0.09,0.12,0.39,0.39,0.41,0.05,0.05,0.05,0.05,0.05
4.1,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.15,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.2,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.25,0.09,0.12,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.3,0.09,0.13,0.39,0.39,0.41,0,0,0.05,0.05,0.05
4.35,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.4,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.45,0.09,0.13,0.39,0.39,0.42,0,0,0.05,0.05,0.05
4.5,0.09,0.13,0.4,0.39,0.42,0,0,0.05,0.05,0.05
4.55,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.6,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.65,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.7,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.75,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.8,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.85,0.09,0.13,0.4,0.4,0.42,0,0,0.05,0.05,0.05
4.9,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
4.95,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5.05,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5.1,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5.15,0.09,0.13,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5.2,0.09,0.14,0.4,0.4,0.43,0,0,0.05,0.05,0.05
5.25,0.09,0.14,0.4,0.4,0.43,0,0.05,0.05,0.05,0.05
5.3,0.09,0.14,0.4,0.4,0.43,0,0.05,0.05,0.05,0.05
5.35,0.09,0.14,0.4,0.4,0.43,0,0.05,0.05,0.05,0.05
5.4,0.09,0.14,0.4,0.4,0.43,0,0.05,0.05,0.05,0.05
5.45,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.5,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.55,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.6,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.65,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.7,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.75,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.8,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.85,0.09,0.14,0.4,0.4,0.44,0,0.05,0.05,0.05,0.05
5.9,0.09,0.14,0.4,0.4,0.44,0.05,0.05,0.05,0.05,0.05
5.95,0.09,0.15,0.4,0.4,0.44,0.05,0.05,0.05,0.05,0.05
6,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0.05,0.05
6.05,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0.05,0.05
6.1,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0.05,0.05
6.15,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.2,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.25,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.3,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.35,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.4,0.09,0.15,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.45,0.09,0.16,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.5,0.09,0.16,0.4,0.41,0.45,0.05,0.05,0.05,0,0.05
6.55,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.6,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.65,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.7,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.75,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.8,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.85,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.9,0.09,0.16,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
6.95,0.09,0.17,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
7,0.09,0.17,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
7.05,0.09,0.17,0.4,0.41,0.46,0.05,0.05,0.05,0,0.05
7.1,0.09,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.15,0.09,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.2,0.08,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.25,0.08,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.3,0.08,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.35,0.08,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.4,0.08,0.17,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.45,0.08,0.18,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.5,0.08,0.18,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.55,0.08,0.18,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.6,0.08,0.18,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.65,0.08,0.18,0.4,0.41,0.47,0.05,0.05,0.05,0,0.05
7.7,0.08,0.18,0.4,0.41,0.48,0.05,0.05,0.05,0,0.05
7.75,0.08,0.18,0.4,0.41,0.48,0.05,0.05,0.05,0,0.05
7.8,0.08,0.18,0.4,0.41,0.48,0.05,0.05,0.05,0,0.05
7.85,0.08,0.18,0.4,0.41,0.48,0.05,0.05,0.05,0.05,0.05
7.9,0.08,0.18,0.4,0.41,0.48,0.05,0.05,0.05,0.05,0.05
7.95,0.08,0.18,0.4,0.41,0.48,0,0.05,0.05,0.05,0.05
8,0.07,0.19,0.4,0.41,0.48,0,0.05,0.05,0.05,0.05
8.05,0.07,0.19,0.4,0.41,0.48,0,0.05,0.05,0.05,0.05
8.1,0.07,0.19,0.4,0.41,0.48,0,0.05,0.05,0.05,0.05
8.15,0.07,0.19,0.4,0.41,0.48,0,0.05,0.05,0.05,0.05
8.2,0.07,0.19,0.4,0.41,0.48,0,0.05,0,0.05,0.05
8.25,0.07,0.19,0.4,0.41,0.48,0,0.05,0,0.05,0.05
8.3,0.07,0.19,0.4,0.41,0.48,0,0.05,0,0.05,0.05
8.35,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.4,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.45,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.5,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.55,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.6,0.07,0.19,0.4,0.41,0.49,0,0.05,0,0.05,0.05
8.65,0.07,0.2,0.4,0.41,0.49,0,0.05,0,0.05,0.05
