Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.1049540162
0.05,0.1049488425
0.10,0.1049436688
0.15,0.1049384713
0.20,0.1049333334
0.25,0.1049281716
0.30,0.1049230337
0.35,0.1049178600
0.40,0.1049127460
0.45,0.1049075723
0.50,0.1049024343
0.55,0.1048973083
0.60,0.1048921704
0.65,0.1048870444
0.70,0.1048818827
0.75,0.1048767447
0.80,0.1048715949
0.85,0.1048664808
0.90,0.1048613429
0.95,0.1048562169
1.00,0.1048511028
1.05,0.1048460007
1.10,0.1048408985
1.15,0.1048357844
1.20,0.1048306465
1.25,0.1048255563
1.30,0.1048204303
1.35,0.1048153162
1.40,0.1048102021
1.45,0.1048050880
1.50,0.1047999978
1.55,0.1047948837
1.60,0.1047898054
1.65,0.1047847271
1.70,0.1047796488
1.75,0.1047745585
1.80,0.1047694802
1.85,0.1047643781
1.90,0.1047592998
1.95,0.1047542334
2.00,0.1047491312
2.05,0.1047440648
2.10,0.1047695994
2.15,0.1048233628
2.20,0.1049031377
2.25,0.1050066829
2.30,0.1051320553
2.35,0.1052772999
2.40,0.1054406047
2.45,0.1056203485
2.50,0.1058149099
2.55,0.1060227752
2.60,0.1062426090
2.65,0.1064731479
2.70,0.1067131519
2.75,0.1069615602
2.80,0.1072173476
2.85,0.1074794888
2.90,0.1077471972
2.95,0.1080195785
3.00,0.1082959175
3.05,0.1085756063
3.10,0.1088578939
3.15,0.1091422558
3.20,0.1094282269
3.25,0.1097151995
3.30,0.1100028515
3.35,0.1102907896
3.40,0.1105785251
3.45,0.1108657718
3.50,0.1111523390
3.55,0.1114378929
3.60,0.1117221713
3.65,0.1120049834
3.70,0.1122861028
3.75,0.1125655055
3.80,0.1128430128
3.85,0.1131183743
3.90,0.1133916616
3.95,0.1136626124
4.00,0.1139313936
4.05,0.1141976476
4.10,0.1144616008
4.15,0.1147230506
4.20,0.1149821162
4.25,0.1152386427
4.30,0.1154927254
4.35,0.1160542846
4.40,0.1163060546
4.45,0.1165555358
4.50,0.1168027282
4.55,0.1170476794
4.60,0.1172905207
4.65,0.1175311089
4.70,0.1177697301
4.75,0.1180063844
4.80,0.1182409644
4.85,0.1191197038
4.90,0.1193439722
4.95,0.1195667267
5.00,0.1197878242
5.05,0.1200075865
5.10,0.1202259421
