Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.1049540162
0.05,0.1049488425
0.10,0.1049436688
0.15,0.1049384713
0.20,0.1049333334
0.25,0.1049281716
0.30,0.1049230337
0.35,0.1049178600
0.40,0.1049127460
0.45,0.1049075723
0.50,0.1049024343
0.55,0.1048973083
0.60,0.1048921704
0.65,0.1048870444
0.70,0.1048818827
0.75,0.1048767447
0.80,0.1048715949
0.85,0.1048664808
0.90,0.1048613429
0.95,0.1048562169
1.00,0.1048511028
1.05,0.1048460007
1.10,0.1048408985
1.15,0.1048357844
1.20,0.1048306465
1.25,0.1048255563
1.30,0.1048204303
1.35,0.1048153162
1.40,0.1048102021
1.45,0.1048050880
1.50,0.1047999978
1.55,0.1047948837
1.60,0.1047898054
1.65,0.1047847271
1.70,0.1047796488
1.75,0.1047745585
1.80,0.1047694802
1.85,0.1047643781
1.90,0.1047592998
1.95,0.1047542334
2.00,0.1047491312
2.05,0.1047440648
2.10,0.1047425747
2.15,0.1047445297
2.20,0.1047494650
2.25,0.1047570586
2.30,0.1047670126
2.35,0.1047790051
2.40,0.1047925830
2.45,0.1048076987
2.50,0.1048239231
2.55,0.1048408628
2.60,0.1048583984
2.65,0.1048762560
2.70,0.1048942208
2.75,0.1049120069
2.80,0.1049294710
2.85,0.1049463391
2.90,0.1049625278
2.95,0.1049777508
3.00,0.1049920559
3.05,0.1050052285
3.10,0.1050171018
3.15,0.1050275683
3.20,0.1050366044
3.25,0.1050440669
3.30,0.1050499320
3.35,0.1050541043
3.40,0.1050565243
3.45,0.1050571799
3.50,0.1050559163
3.55,0.1050528526
3.60,0.1050478935
3.65,0.1050411344
3.70,0.1050323844
3.75,0.1050217867
3.80,0.1050093293
3.85,0.1049950361
3.90,0.1049788594
3.95,0.1049608827
4.00,0.1049411297
4.05,0.1049196482
4.10,0.1048964262
4.15,0.1048733234
4.20,0.1048503518
4.25,0.1048279166
4.30,0.1048060417
4.35,0.1047848344
4.40,0.1047642946
4.45,0.1047445774
4.50,0.1047257185
4.55,0.1047074914
4.60,0.1046902180
4.65,0.1046736121
4.70,0.1046578884
4.75,0.1046428084
4.80,0.1046284080
4.85,0.1046147466
4.90,0.1046016574
4.95,0.1045891404
5.00,0.1045772314
5.05,0.1045658112
5.10,0.1045549393
