Time Series 1 = CellDef_1.Attractant/CellDef_1 (Concentration/Cells)

Time,Time Series 1
0,0.0023698480
0.05,0.0023698480
0.10,0.0023698479
0.15,0.0023698477
0.20,0.0023698477
0.25,0.0023698475
0.30,0.0023698475
0.35,0.0023698475
0.40,0.0023698474
0.45,0.0023698472
0.50,0.0023698471
0.55,0.0023698470
0.60,0.0023698469
0.65,0.0023698469
0.70,0.0023698467
0.75,0.0023698466
0.80,0.0023698465
0.85,0.0023698464
0.90,0.0023698463
0.95,0.0023698463
1.00,0.0023698463
1.05,0.0023698462
1.10,0.0023698462
1.15,0.0023698460
1.20,0.0023698460
1.25,0.0023698459
1.30,0.0023698458
1.35,0.0023698457
1.40,0.0023698456
1.45,0.0023698455
1.50,0.0023698454
1.55,0.0023698453
1.60,0.0023698452
1.65,0.0023698451
1.70,0.0023698451
1.75,0.0023698450
1.80,0.0023698448
1.85,0.0023698447
1.90,0.0023698446
1.95,0.0023698446
2.00,0.0023698445
2.05,0.0023698444
2.10,0.0023698527
2.15,0.0023698687
2.20,0.0023698532
2.25,0.0023698825
2.30,0.0023700109
2.35,0.0023700511
2.40,0.0023700367
2.45,0.0023700853
2.50,0.0023701375
2.55,0.0023702381
2.60,0.0023702961
2.65,0.0023703566
2.70,0.0023704192
2.75,0.0023704748
2.80,0.0023705360
2.85,0.0023706135
2.90,0.0023704375
2.95,0.0023705031
3.00,0.0023705692
3.05,0.0023703461
3.10,0.0023705482
3.15,0.0023707239
3.20,0.0023707946
3.25,0.0023708556
3.30,0.0023709278
3.35,0.0023710021
3.40,0.0023710771
3.45,0.0023714056
3.50,0.0023714014
3.55,0.0023714790
3.60,0.0023715947
3.65,0.0023716777
3.70,0.0023717643
3.75,0.0023718534
3.80,0.0023719668
3.85,0.0023720637
3.90,0.0023721718
3.95,0.0023723175
4.00,0.0023724282
4.05,0.0023725951
4.10,0.0023727174
4.15,0.0023729915
4.20,0.0023732253
4.25,0.0023737674
4.30,0.0023744307
4.35,0.0023752383
4.40,0.0023761175
4.45,0.0023770937
4.50,0.0023781575
4.55,0.0023792892
4.60,0.0023805107
4.65,0.0023818025
4.70,0.0023831589
4.75,0.0023845753
4.80,0.0023860471
4.85,0.0023875711
4.90,0.0023891428
4.95,0.0023907581
5.00,0.0023923994
5.05,0.0023940944
5.10,0.0023958245
5.15,0.0023975875
5.20,0.0023993770
5.25,0.0024012227
5.30,0.0024030660
5.35,0.0024049146
5.40,0.0024067586
5.45,0.0024085841
5.50,0.0024103916
5.55,0.0024121848
5.60,0.0024139627
5.65,0.0024157242
5.70,0.0024174714
5.75,0.0024191962
5.80,0.0024212519
5.85,0.0024229816
5.90,0.0024247040
5.95,0.0024264224
6.00,0.0024281350
6.05,0.0024295991
6.10,0.0024312722
6.15,0.0024329068
6.20,0.0024345104
6.25,0.0024361140
6.30,0.0024377526
6.35,0.0024393170
6.40,0.0024410070
6.45,0.0024425373
6.50,0.0024440517
6.55,0.0024455506
6.60,0.0024470351
6.65,0.0024485058
6.70,0.0024499731
6.75,0.0024514153
6.80,0.0024528506
6.85,0.0024542687
6.90,0.0024556842
6.95,0.0024570907
7.00,0.0024585162
7.05,0.0024599079
7.10,0.0024613120
7.15,0.0024625561
7.20,0.0024639315
7.25,0.0024650094
7.30,0.0024663777
7.35,0.0024677692
7.40,0.0024691758
7.45,0.0024706336
7.50,0.0024722126
7.55,0.0024738024
7.60,0.0024754476
7.65,0.0024771478
7.70,0.0024789002
7.75,0.0024807017
7.80,0.0024822724
7.85,0.0024841741
7.90,0.0024861355
7.95,0.0024882711
8.00,0.0024903486
8.05,0.0024924604
8.10,0.0024946221
8.15,0.0024968890
8.20,0.0024991965
8.25,0.0025017097
8.30,0.0025040953
8.35,0.0025066296
8.40,0.0025091910
8.45,0.0025118123
8.50,0.0025144754
8.55,0.0025171765
8.60,0.0025199149
8.65,0.0025226842
8.70,0.0025254898
8.75,0.0025286097
8.80,0.0025314727
8.85,0.0025343769
8.90,0.0025372954
8.95,0.0025402316
9.00,0.0025431468
9.05,0.0025460180
9.10,0.0025488794
9.15,0.0025520464
9.20,0.0025548101
9.25,0.0025575679
