Concentration Time
0.0 2.2061904761904763
5.0e-3 3.075
1.0e-2 7.626
1.5e-2 1.23
1.5000000000000001e-2 7.38
2.0e-2 6.15
2.5e-2 2.87
3.0e-2 2.0500000000000003
3.4999999999999996e-2 3.2800000000000002
3.5e-2 0.8200000000000001
4.0e-2 4.1
4.3333333333333335e-2 4.1
4.5e-2 4.92
7.500000000000001e-2 0.8200000000000001
8.499999999999999e-2 0.8200000000000001
8.5e-2 8.2
9.000000000000001e-2 2.87
9.000000000000002e-2 4.92
9.500000000000001e-2 1.6400000000000001
9.749999999999998e-2 4.92
9.999999999999999e-2 4.92
0.10500000000000001 0.8200000000000001
0.11 1.23
0.11499999999999999 0.8200000000000001
0.12 5.74
0.135 1.6400000000000001
0.14 0.8200000000000001
0.14333333333333334 2.05
0.14500000000000002 0.8200000000000001
0.15 5.33
0.15000000000000002 0.8200000000000001
0.155 0.8200000000000001
0.17 2.46
0.175 0.8200000000000001
0.18999999999999997 9.84
0.2 5.74
0.225 0.8200000000000001
0.265 0.8200000000000001
0.27 1.23
0.28 0.8200000000000001
0.305 6.15
0.325 1.6400000000000001
0.32999999999999996 4.92
0.34 1.6400000000000001
0.3400000000000001 18.04
0.35 18.04
0.3607142857142857 9.02
0.41 1.6400000000000001
0.415 0.8200000000000001
0.43 0.8200000000000001
0.44 2.46
0.445 3.2800000000000002
0.45 0.8200000000000001
0.46499999999999997 0.8200000000000001
0.475 0.8200000000000001
0.47500000000000003 29.52
0.485 1.6400000000000001
0.525 0.8200000000000001
0.54 4.92
0.55 2.46
0.56 0.8200000000000001
0.565 1.6400000000000001
0.5650000000000001 0.8200000000000001
0.5700000000000001 4.1
0.5716666666666667 6.5600000000000005
0.575 0.8200000000000001
0.5750000000000001 4.92
0.59 0.8200000000000001
0.6 0.8200000000000001
0.62 1.6400000000000001
0.625 4.1
0.665 2.46
0.725 4.1
0.7250000000000001 0.8200000000000001
0.7449999999999999 0.8200000000000001
0.76 0.8200000000000001
0.83 1.6400000000000001
0.845 0.8200000000000001
0.85 1.6400000000000001
0.875 1.6400000000000001
0.9034615384615385 13.94
0.935 0.8200000000000001
0.965 0.8200000000000001
0.9700000000000001 1.6400000000000001
0.995 0.8200000000000001
1.0050000000000001 0.8200000000000001
1.02 0.8200000000000001
1.035 0.8200000000000001
1.04 5.74
1.055 1.6400000000000001
1.0550000000000002 4.1
1.065 0.8200000000000001
1.0669230769230769 10.66
1.07 2.46
1.09 0.8200000000000001
1.095 0.8200000000000001
1.105 0.8200000000000001
1.115 1.23
1.12 0.8200000000000001
1.125 0.8200000000000001
1.14 1.6400000000000001
1.16 0.8200000000000001
1.2 0.8200000000000001
1.2033333333333334 4.92
1.2149999999999999 0.8200000000000001
1.2559999999999998 3.2800000000000002
1.27 0.8200000000000001
1.4245 7.38
1.5099999999999998 0.8200000000000001
1.53 0.8200000000000001
1.55 0.8200000000000001
1.5899999999999999 0.8200000000000001
