Time Series 5 = CellDef_3.Attractant (Concentration)

Time,Time Series 5
0,0.0017773836
0.05,0.0017773836
0.10,0.0017773836
0.15,0.0017773836
0.20,0.0017773836
0.25,0.0017773836
0.30,0.0017773836
0.35,0.0017773836
0.40,0.0017773836
0.45,0.0017773836
0.50,0.0017773836
0.55,0.0017773836
0.60,0.0017773836
0.65,0.0017773836
0.70,0.0017773836
0.75,0.0017773836
0.80,0.0017773836
0.85,0.0017773836
0.90,0.0017773836
0.95,0.0017773836
1.00,0.0017773836
1.05,0.0017773836
1.10,0.0017773836
1.15,0.0017773836
1.20,0.0017773836
1.25,0.0017773836
1.30,0.0017773836
1.35,0.0017773836
1.40,0.0017773836
1.45,0.0017773836
1.50,0.0017773836
1.55,0.0017773836
1.60,0.0017773836
1.65,0.0017773836
1.70,0.0017773836
1.75,0.0017773836
1.80,0.0017773836
1.85,0.0017773836
1.90,0.0017773836
1.95,0.0017773836
2.00,0.0017773836
2.05,0.0017773836
2.10,0.0017775450
2.15,0.0017778550
2.20,0.0017783010
2.25,0.0017788736
2.30,0.0017795602
2.35,0.0017803534
2.40,0.0017812402
2.45,0.0017822145
2.50,0.0017832660
2.55,0.0017843872
2.60,0.0017855723
2.65,0.0017868129
2.70,0.0017881035
2.75,0.0017894371
2.80,0.0017908090
2.85,0.0017922141
2.90,0.0017936470
2.95,0.0017951040
3.00,0.0017965814
3.05,0.0017979712
3.10,0.0017994494
3.15,0.0018009364
3.20,0.0018024291
3.25,0.0018039242
3.30,0.0018054188
3.35,0.0018069113
3.40,0.0018083995
3.45,0.0018098823
3.50,0.0018113557
3.55,0.0018128201
3.60,0.0018142728
3.65,0.0018157132
3.70,0.0018171394
3.75,0.0018185510
3.80,0.0018199474
3.85,0.0018213276
3.90,0.0018224036
3.95,0.0018237350
4.00,0.0018250494
4.05,0.0018263434
4.10,0.0018276176
4.15,0.0018288714
4.20,0.0018301047
4.25,0.0018313184
4.30,0.0018325114
4.35,0.0018336836
4.40,0.0018348334
4.45,0.0018359639
4.50,0.0018370741
4.55,0.0018381613
4.60,0.0018392289
4.65,0.0018402754
4.70,0.0018413021
4.75,0.0018423084
4.80,0.0018432944
4.85,0.0018442604
4.90,0.0018452066
4.95,0.0018461354
5.00,0.0018470444
5.05,0.0018479363
5.10,0.0018488084
5.15,0.0018496648
5.20,0.0018505029
5.25,0.0018513256
