"Time Series 6 = CellDef_1.Attractant (Concentration)",,,,,,,,,,
"Time Series 7 = CellDef_2.Attractant (Concentration)",,,,"Time Series 2 = CellDef_2.runTime (Cells)",,,,,,
"Time Series 8 = CellDef_3.Attractant (Concentration)",,,,"Time Series 3 = CellDef_3.runTime (Cells)",,,,,,
"Time Series 9 = CellDef_4.Attractant (Concentration)",,,,"Time Series 4 = CellDef_4.runTime (Cells)",,,,,,
"Time Series 10 = CellDef_5.Attractant (Concentration)",,,,"Time Series 5 = CellDef_5.runTime (Cells)",,,,,,
"Time","Time Series 6","Time Series 7","Time Series 8","Time Series9","Time Series 10","Time Series 1","Time Series 2","Time Series 3","Time Series 4","Time Series 5"
1.66,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.68,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.7,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.72,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.74,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.76,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.78,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.8,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.82,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.84,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.86,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.88,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.9,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.92,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.94,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.96,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
1.98,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
2,0.19,0.32,0.21,0.24,0.26,0,0,0,0,0
2.02,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.04,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.06,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.08,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.1,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.12,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.14,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.16,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.18,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.2,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.22,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.24,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.26,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.28,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.3,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.32,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.34,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.36,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.38,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.4,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.42,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.44,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.46,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.48,0.19,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.5,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
2.52,0.18,0.32,0.21,0.24,0.26,0.02,0.02,0.02,0.02,0.02
