Time Series 6 = CellDef_1.Attractant (Concentration)
Time Series 7 = CellDef_2.Attractant (Concentration)
Time Series 8 = CellDef_3.Attractant (Concentration)
Time Series 9 = CellDef_4.Attractant (Concentration)
Time Series 10 = CellDef_5.Attractant (Concentration)

Time,Time Series 6,Time Series 7,Time Series 8,Time Series 9,Time Series 10
1.48,0.1852038622,0.3157862663,0.2058543444,0.2441808462,0.2643128157
1.50,0.1852039933,0.3157861233,0.2058543921,0.2441807985,0.2643127680
1.52,0.1852041125,0.3157859325,0.2058544159,0.2441807508,0.2643126965
1.54,0.1852042317,0.3157857895,0.2058544636,0.2441806793,0.2643126249
1.56,0.1852043509,0.3157855988,0.2058544874,0.2441806555,0.2643126011
1.58,0.1852044821,0.3157854319,0.2058545113,0.2441806078,0.2643125296
1.60,0.1852045655,0.3157852650,0.2058545113,0.2441805840,0.2643124580
1.62,0.1852046967,0.3157850742,0.2058545351,0.2441805601,0.2643123627
1.64,0.1852048039,0.3157849073,0.2058545589,0.2441805124,0.2643123150
1.66,0.1852049112,0.3157847643,0.2058546066,0.2441804409,0.2643121958
1.68,0.1852050543,0.3157845974,0.2058546066,0.2441804171,0.2643120766
1.70,0.1852051377,0.3157844067,0.2058546305,0.2441803694,0.2643120050
1.72,0.1852052689,0.3157842398,0.2058546543,0.2441803455,0.2643119335
1.74,0.1852053642,0.3157840729,0.2058547020,0.2441802979,0.2643118620
1.76,0.1852054715,0.3157839060,0.2058547258,0.2441802502,0.2643117905
1.78,0.1852056026,0.3157837152,0.2058547258,0.2441802263,0.2643117189
1.80,0.1852057099,0.3157835484,0.2058547735,0.2441801786,0.2643116474
1.82,0.1852058411,0.3157834291,0.2058547974,0.2441801548,0.2643115997
1.84,0.1852059364,0.3157832623,0.2058548450,0.2441801071,0.2643115282
1.86,0.1852060795,0.3157830715,0.2058548689,0.2441800833,0.2643114805
1.88,0.1852061987,0.3157829285,0.2058548689,0.2441800117,0.2643114328
1.90,0.1852063179,0.3157827616,0.2058548689,0.2441799641,0.2643113613
1.92,0.1852064133,0.3157825947,0.2058549166,0.2441799164,0.2643112898
1.94,0.1852065325,0.3157823563,0.2058549404,0.2441798687,0.2643111706
1.96,0.1852066517,0.3157821655,0.2058549643,0.2441798449,0.2643110752
1.98,0.1852067709,0.3157820225,0.2058549881,0.2441798210,0.2643110514
2.00,0.1852068901,0.3157818317,0.2058550119,0.2441797733,0.2643109560
2.02,0.1852069974,0.3157816887,0.2058550596,0.2441797495,0.2643109083
2.04,0.1852060437,0.3157863617,0.2058582067,0.2441762924,0.2643123388
2.06,0.1852040291,0.3157956839,0.2058643103,0.2441695452,0.2643153429
2.08,0.1852010250,0.3158092976,0.2058730602,0.2441599846,0.2643197298
2.10,0.1851971626,0.3158269167,0.2058844328,0.2441473722,0.2643254280
2.12,0.1851924062,0.3158484221,0.2058983564,0.2441323042,0.2643323421
