Lines	Blanks	Comments	Filename
122 	6 	29 	    TimeSeriesRawDataViewer.Designer.cs
2422 	208 	162 	    CellDefinitionsPanelUI.cs
61 	8 	3 	    ComponentLinkCommand.cs
321 	6 	68 	    TimeSeriesGraphPanel.Designer.cs
42 	6 	1 	    RenameEntityCommand.cs
56 	6 	0 	    SpeciesCommand.cs
424 	44 	62 	    ApplicationUI.cs
604 	81 	34 	    TimeSeriesEditorPanelUI.cs
14 	1 	0 	    IDrawingInterface.cs
426 	7 	98 	    TimeSeriesEditorPanelUI.Designer.cs
56 	6 	17 	    InputDialog.cs
56 	6 	0 	    ComponentBaseCommand.cs
374 	25 	60 	    SimulationEditorPanelUI.cs
875 	86 	115 	    ExperimentTreePanelUI.cs
52 	6 	6 	    MacroCommand.cs
243 	14 	35 	    Analyser3DViewPanelUI.Designer.cs
131 	6 	29 	    InputDialog.Designer.cs
36 	5 	0 	    ParameterCommand.cs
12 	1 	0 	    ICommand.cs
175 	27 	33 	    TimeSeriesRawDataViewer.cs
338 	25 	49 	    SimulationAnalyserPanelUI.cs
151 	39 	30 	    GLTextures.cs
554 	147 	74 	    OpenGLPanelViewState.cs
200 	47 	38 	    OpenGLPanel.cs
613 	165 	101 	    GLDrawHelper.cs
303 	78 	31 	    SpatialViewState.cs
1217 	340 	109 	    OpenGLCellPlacementPanel.cs
26 	3 	9 	    AssertDouble.cs
462 	102 	85 	    TestSimulator.cs
18 	6 	1 	    TestSpatialContext.cs
46 	11 	9 	    TestVector.cs
340 	71 	48 	    TestAggregateFunctions.cs
20 	5 	4 	    IntegrationTestHopf.cs
118 	28 	10 	    TestExperiment.cs
65 	19 	10 	    TestEnvironment.cs
92 	21 	12 	    TestReactions.cs
199 	56 	34 	    TestEvaluationFunctions.cs
499 	96 	94 	    TestSBML.cs
538 	131 	51 	    TestFormulas.cs
180 	28 	40 	    TestTimeSeriesGraphPanel.cs
1142 	158 	21 	    Model.cs
219 	37 	73 	    CellDefinition.cs
107 	11 	25 	    StateSnapshot.cs
771 	183 	112 	    NutrientField.cs
466 	57 	163 	    Environment.cs
595 	82 	173 	    CellInstance.cs
161 	13 	60 	    TimeSeriesFunction.cs
1125 	160 	63 	    Reader.cs
148 	19 	37 	    SpatialContext.cs
141 	34 	23 	    Boundary.cs
21 	3 	4 	    Variable.cs
30 	5 	4 	    TimeSeriesParameters.cs
113 	7 	5 	    Results.cs
208 	16 	75 	    TimeSeries.cs
283 	27 	78 	    Experiment.cs
440 	66 	94 	    Simulation.cs
187 	23 	12 	    SimulationParameters.cs
83 	13 	38 	    MathHelper.cs
50 	4 	10 	    Rectangle.cs
163 	5 	0 	    Vector2.cs
134 	18 	37 	    Vector3.cs
25 	5 	3 	    ICellInstanceController.cs
24 	5 	3 	    ITimeSeriesView.cs
39 	8 	3 	    ISimulationParametersView.cs
32 	8 	3 	    ISimulationView.cs
16 	5 	1 	    ITimeSeriesFunctionSimulator.cs
43 	7 	8 	    IResultsController.cs
31 	7 	3 	    IExperimentController.cs
44 	7 	12 	    ISpatialContextSimulator.cs
23 	6 	0 	    IExperimentSimulator.cs
22 	4 	3 	    ICellInstanceView.cs
23 	6 	1 	    ITimeSeriesSimulator.cs
23 	5 	0 	    IStateSnapshotSimulator.cs
22 	5 	4 	    ICellDefinitionController.cs
24 	4 	0 	    ISimulationSimulator.cs
26 	5 	3 	    IStateSnapshotController.cs
31 	6 	3 	    ITimeSeriesFunctionController.cs
29 	7 	4 	    IExperimentView.cs
22 	5 	0 	    ICellInstanceSimulator.cs
41 	7 	3 	    ISimulationParametersController.cs
18 	1 	3 	    IModelComponent.cs
25 	5 	3 	    ITimeSeriesController.cs
20 	6 	0 	    ICellDefinitionSimulator.cs
24 	5 	3 	    IStateSnapshotView.cs
35 	7 	0 	    ISimulationParametersSimulator.cs
17 	3 	3 	    ICellDefinitionView.cs
28 	6 	3 	    ITimeSeriesFunctionView.cs
33 	6 	3 	    ISimulationController.cs
33 	7 	6 	    IResultsView.cs
49 	8 	18 	    ISpatialContextView.cs
51 	8 	18 	    ISpatialContextController.cs
39 	7 	5 	    IResultsSimulator.cs
109 	13 	37 	    Euler.cs
236 	43 	56 	    CVode.cs
144 	20 	42 	    RungeKutta.cs
43 	10 	16 	    SolverBase.cs
476 	39 	90 	    Model.cs
67 	8 	9 	    Constraint.cs
120 	17 	34 	    Group.cs
181 	18 	56 	    SBase.cs
95 	11 	12 	    InitialAssignment.cs
45 	5 	16 	    AlgebraicRule.cs
58 	7 	13 	    MathBase.cs
176 	17 	25 	    KineticLaw.cs
290 	35 	15 	    Species.cs
246 	29 	19 	    Reaction.cs
15 	2 	4 	    UnknownEntity.cs
88 	7 	18 	    Event.cs
77 	6 	15 	    Delay.cs
84 	7 	13 	    SimpleSpeciesReference.cs
37 	5 	0 	    SBMLroot.cs
83 	12 	23 	    Operators.cs
72 	7 	12 	    RateRule.cs
76 	6 	15 	    Trigger.cs
1358 	186 	115 	    Reader.cs
41 	3 	5 	    Rule.cs
39 	4 	1 	    ModifierSpeciesReference.cs
91 	9 	16 	    EventAssignment.cs
97 	11 	12 	    Parameter.cs
64 	9 	3 	    AssignmentRule.cs
73 	6 	15 	    FunctionDefinition.cs
55 	5 	11 	    UnitDefinition.cs
79 	10 	1 	    SpeciesReference.cs
27 	3 	1 	    SpeciesType.cs
114 	11 	16 	    Compartment.cs
27 	3 	1 	    CompartmentType.cs
26 	3 	0 	    SpatialParameters.cs
68 	7 	10 	    Unit.cs
49 	10 	7 	    ComponentWorldStateBase.cs
46 	9 	6 	    ReceptorWorldState.cs
68 	14 	7 	    FlagellaWorldState.cs
305 	47 	25 	    ComponentBase.cs
227 	72 	28 	    FlagellaComponent.cs
114 	31 	23 	    ReceptorComponent.cs
164 	18 	60 	    MathTree.cs
117 	11 	56 	    MathNode.cs
152 	12 	61 	    NumberLeafNode.cs
27 	5 	4 	    LeafNode.cs
173 	12 	67 	    ReferenceLeafNode.cs
21 	4 	1 	    ParentNode.cs
755 	72 	172 	    FormulaParser.cs
221 	15 	42 	    AggregateReferenceNode.cs
631 	33 	115 	    InnerNode.cs
50775 	 7290 	 7900 

