Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.3852072001
0.05,0.3852051258
0.10,0.3852030754
0.15,0.3852010250
0.20,0.3851989508
0.25,0.3851968527
0.30,0.3851947784
0.35,0.3851927042
0.40,0.3851905346
0.45,0.3851884604
0.50,0.3851864100
0.55,0.3851843119
0.60,0.3851821899
0.65,0.3851800680
0.70,0.3851780176
0.75,0.3851759434
0.80,0.3851738214
0.85,0.3851716518
0.90,0.3851696014
0.95,0.3851674557
1.00,0.3851653576
1.05,0.3851632595
1.10,0.3851611614
1.15,0.3851590395
1.20,0.3851569414
1.25,0.3851547241
1.30,0.3851526976
1.35,0.3851505041
1.40,0.3851483583
1.45,0.3851462126
1.50,0.3851440430
1.55,0.3851419449
1.60,0.3851397753
1.65,0.3851376534
1.70,0.3851355553
1.75,0.3851333618
1.80,0.3851311445
1.85,0.3851289511
1.90,0.3851268768
1.95,0.3851246834
2.00,0.3851225138
2.05,0.3851202488
2.10,0.3851378679
2.15,0.3851742268
2.20,0.3852272272
2.25,0.3852964163
2.30,0.3853799582
2.35,0.3854778528
2.40,0.3855883837
2.45,0.3857112885
2.50,0.3858455658
2.55,0.3859905958
2.60,0.3861452579
2.65,0.3863096952
2.70,0.3864830017
2.75,0.3866643429
2.80,0.3868534327
2.85,0.3870501280
2.90,0.3872531652
2.95,0.3874629259
3.00,0.3876785994
3.05,0.3878995419
3.10,0.3881257534
3.15,0.3883564234
3.20,0.3885916471
3.25,0.3888307810
3.30,0.3890732527
3.35,0.3893192768
3.40,0.3895678282
3.45,0.3898189545
3.50,0.3900723696
3.55,0.3903276205
3.60,0.3905843735
3.65,0.3908426046
3.70,0.3911013842
3.75,0.3913608551
3.80,0.3916206837
3.85,0.3918803453
3.90,0.3921399117
3.95,0.3923988104
4.00,0.3926570654
4.05,0.3929141760
4.10,0.3931698799
4.15,0.3934240341
4.20,0.3936764479
4.25,0.3939265013
4.30,0.3941745996
4.35,0.3944197893
4.40,0.3946623325
4.45,0.3949021101
4.50,0.3951387644
4.55,0.3953717947
4.60,0.3956016302
4.65,0.3958274126
4.70,0.3960495234
4.75,0.3962672949
4.80,0.3964814663
4.85,0.3966907263
4.90,0.3968960047
4.95,0.3970962286
5.00,0.3972921848
5.05,0.3974833012
5.10,0.3976693153
5.15,0.3978502512
5.20,0.3980263472
5.25,0.3981972694
5.30,0.3983628988
5.35,0.3985234261
5.40,0.3986786604
5.45,0.3988285780
5.50,0.3989731312
5.55,0.3991121531
5.60,0.3992460489
5.65,0.3993744850
5.70,0.3994976759
5.75,0.3996154785
5.80,0.3997281313
5.85,0.3998352528
5.90,0.3999372244
5.95,0.4000343323
6.00,0.4001261234
6.05,0.4002130032
6.10,0.4002947807
6.15,0.4003720284
6.20,0.4004443169
6.25,0.4005119801
6.30,0.4005749226
6.35,0.4006336212
6.40,0.4006879807
6.45,0.4007381439
6.50,0.4007842064
6.55,0.4008264065
6.60,0.4008648396
6.65,0.4008995533
6.70,0.4009309292
6.75,0.4009592056
6.80,0.4009840488
6.85,0.4010060310
6.90,0.4010250568
6.95,0.4010418415
7.00,0.4010558605
7.05,0.4010678291
7.10,0.4010779858
7.15,0.4010860920
7.20,0.4010926723
7.25,0.4010977745
7.30,0.4011016846
7.35,0.4011047840
7.40,0.4011069298
7.45,0.4011085510
7.50,0.4011096954
7.55,0.4011110783
7.60,0.4011124134
7.65,0.4011139870
7.70,0.4011161327
7.75,0.4011193275
7.80,0.4011231899
7.85,0.4011284828
7.90,0.4011352062
7.95,0.4011436462
8.00,0.4011538029
8.05,0.4011659622
8.10,0.4011808395
8.15,0.4011978626
8.20,0.4018217087
8.25,0.4018476963
8.30,0.4018740654
8.35,0.4019008636
8.40,0.4019274235
8.45,0.4019535542
8.50,0.4019791603
8.55,0.4020043373
