Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.3852072001
0.05,0.3852051258
0.10,0.3852030754
0.15,0.3852010250
0.20,0.3851989508
0.25,0.3851968527
0.30,0.3851947784
0.35,0.3851927042
0.40,0.3851905346
0.45,0.3851884604
0.50,0.3851864100
0.55,0.3851843119
0.60,0.3851821899
0.65,0.3851800680
0.70,0.3851780176
0.75,0.3851759434
0.80,0.3851738214
0.85,0.3851716518
0.90,0.3851696014
0.95,0.3851674557
1.00,0.3851653576
1.05,0.3851632595
1.10,0.3851611614
1.15,0.3851590395
1.20,0.3851569414
1.25,0.3851547241
1.30,0.3851526976
1.35,0.3851505041
1.40,0.3851483583
1.45,0.3851462126
1.50,0.3851440430
1.55,0.3851419449
1.60,0.3851397753
1.65,0.3851376534
1.70,0.3851355553
1.75,0.3851333618
1.80,0.3851311445
1.85,0.3851289511
1.90,0.3851268768
1.95,0.3851246834
2.00,0.3851225138
2.05,0.3851202488
2.10,0.3851841927
2.15,0.3853092909
2.20,0.3854912043
2.25,0.3857254267
2.30,0.3860084057
2.35,0.3863362312
2.40,0.3867059946
2.45,0.3871146917
2.50,0.3875595570
2.55,0.3880379915
2.60,0.3885473251
2.65,0.3890856981
2.70,0.3896508694
2.75,0.3902409077
2.80,0.3908544779
2.85,0.3914893866
2.90,0.3921442032
2.95,0.3928180218
3.00,0.3935087919
3.05,0.3942158937
3.10,0.3949379444
3.15,0.3956736088
3.20,0.3964224815
3.25,0.3971831083
3.30,0.3979552984
3.35,0.3987376451
3.40,0.3995296240
3.45,0.4003306389
3.50,0.4011400223
3.55,0.4019569874
3.60,0.4027811527
3.65,0.4036124706
3.70,0.4044495106
3.75,0.4052926064
3.80,0.4061409950
3.85,0.4069944382
3.90,0.4078524113
3.95,0.4087149143
4.00,0.4095814228
4.05,0.4104516506
4.10,0.4113253593
4.15,0.4122025013
4.20,0.4130826473
4.25,0.4139655590
4.30,0.4148511887
4.35,0.4157393932
4.40,0.4166296959
4.45,0.4175222874
4.50,0.4184169769
4.55,0.4193133831
4.60,0.4202115059
4.65,0.4211112976
4.70,0.4220124245
4.75,0.4229151726
4.80,0.4238191128
4.85,0.4247242928
4.90,0.4256304264
4.95,0.4265375614
5.00,0.4274456501
5.05,0.4283544540
5.10,0.4292641640
5.15,0.4301742554
5.20,0.4310847282
5.25,0.4319958687
5.30,0.4329073906
5.35,0.4338188648
5.40,0.4347307205
5.45,0.4356425762
5.50,0.4365544319
5.55,0.4374662876
5.60,0.4383778095
5.65,0.4392890453
5.70,0.4401996136
5.75,0.4411103249
5.80,0.4420201778
5.85,0.4429289818
5.90,0.4438374043
5.95,0.4447448254
6.00,0.4456509113
6.05,0.4465564728
6.10,0.4474603176
6.15,0.4483630180
6.20,0.4492643356
6.25,0.4501640320
6.30,0.4510620594
6.35,0.4519582272
6.40,0.4528527737
6.45,0.4537451267
6.50,0.4546356678
6.55,0.4555235863
6.60,0.4564094543
6.65,0.4572929382
6.70,0.4581739426
6.75,0.4590521812
6.80,0.4599277496
6.85,0.4608005524
6.90,0.4616702080
6.95,0.4625372410
7.00,0.4634009361
7.05,0.4642612934
7.10,0.4651186943
7.15,0.4659725189
7.20,0.4668232918
7.25,0.4676704407
7.30,0.4685137749
7.35,0.4693535328
7.40,0.4701897621
7.45,0.4710222244
7.50,0.4718511105
7.55,0.4726759911
7.60,0.4734970093
7.65,0.4743142128
7.70,0.4751277924
7.75,0.4759373665
7.80,0.4767428398
7.85,0.4775445461
7.90,0.4783422947
7.95,0.4791364193
8.00,0.4799266338
8.05,0.4807127476
8.10,0.4814953804
8.15,0.4822742462
8.20,0.4830493450
8.25,0.4838207245
8.30,0.4845888138
8.35,0.4853530407
8.40,0.4861138821
8.45,0.4868715286
8.50,0.4876259327
8.55,0.4883767605
