Time Series 1 = CellDef_1.Attractant (Concentration)

Time,Time Series 1
0,0.3852072001
0.05,0.3852051258
0.10,0.3852030754
0.15,0.3852010250
0.20,0.3851989508
0.25,0.3851968527
0.30,0.3851947784
0.35,0.3851927042
0.40,0.3851905346
0.45,0.3851884604
0.50,0.3851864100
0.55,0.3851843119
0.60,0.3851821899
0.65,0.3851800680
0.70,0.3851780176
0.75,0.3851759434
0.80,0.3851738214
0.85,0.3851716518
0.90,0.3851696014
0.95,0.3851674557
1.00,0.3851653576
1.05,0.3851632595
1.10,0.3851611614
1.15,0.3851590395
1.20,0.3851569414
1.25,0.3851547241
1.30,0.3851526976
1.35,0.3851505041
1.40,0.3851483583
1.45,0.3851462126
1.50,0.3851440430
1.55,0.3851419449
1.60,0.3851397753
1.65,0.3851376534
1.70,0.3851355553
1.75,0.3851333618
1.80,0.3851311445
1.85,0.3851289511
1.90,0.3851268768
1.95,0.3851246834
2.00,0.3851225138
2.05,0.3851202488
2.10,0.3851335526
2.15,0.3851608276
2.20,0.3852014780
2.25,0.3852543592
2.30,0.3853191376
2.35,0.3853948355
2.40,0.3854809999
2.45,0.3855770350
2.50,0.3856823206
2.55,0.3857967615
2.60,0.3859198093
2.65,0.3860510826
2.70,0.3861905336
2.75,0.3863372326
2.80,0.3864913702
2.85,0.3866528511
2.90,0.3868209124
2.95,0.3869959116
3.00,0.3871770620
3.05,0.3873648643
3.10,0.3875587225
3.15,0.3877582073
3.20,0.3879635096
3.25,0.3881746531
3.30,0.3883912563
3.35,0.3886129618
3.40,0.3888397455
3.45,0.3890717506
3.50,0.3893085241
3.55,0.3895501375
3.60,0.3897962332
3.65,0.3900470018
3.70,0.3903019905
3.75,0.3905612469
3.80,0.3908246756
3.85,0.3910926342
3.90,0.3913641930
3.95,0.3916394711
4.00,0.3919183254
4.05,0.3922008753
4.10,0.3924870253
4.15,0.3927765846
4.20,0.3930693626
4.25,0.3933655977
4.30,0.3936647177
4.35,0.3939669371
4.40,0.3942721367
4.45,0.3945800781
4.50,0.3948907375
4.55,0.3952042341
4.60,0.3955202818
4.65,0.3958389997
4.70,0.3961598635
4.75,0.3964831829
4.80,0.3968087912
4.85,0.3971367121
4.90,0.3974667549
4.95,0.3977988720
5.00,0.3981329441
5.05,0.3984690666
5.10,0.3988070726
5.15,0.3991468191
5.20,0.3994884968
5.25,0.3998318195
5.30,0.4001765251
5.35,0.4005233765
5.40,0.4008714199
5.45,0.4012208939
5.50,0.4015722752
5.55,0.4019243240
5.60,0.4022784233
5.65,0.4026335239
5.70,0.4029899120
5.75,0.4033477306
5.80,0.4037066936
5.85,0.4040667057
5.90,0.4044278145
5.95,0.4047903538
6.00,0.4051537514
6.05,0.4055180073
6.10,0.4058835983
6.15,0.4062496185
6.20,0.4065887928
6.25,0.4069034100
6.30,0.4071944714
6.35,0.4074644089
6.40,0.4077139378
6.45,0.4079453468
6.50,0.4081591606
6.55,0.4083569527
6.60,0.4085401058
6.65,0.4087096214
6.70,0.4088658810
6.75,0.4090107918
6.80,0.4091448307
6.85,0.4092687607
6.90,0.4093832016
6.95,0.4094890118
7.00,0.4095867157
7.05,0.4096771240
7.10,0.4097605228
7.15,0.4098375797
7.20,0.4099089146
7.25,0.4099747658
7.30,0.4100352764
7.35,0.4100910664
7.40,0.4101427555
7.45,0.4101903439
7.50,0.4102345467
7.55,0.4102752209
7.60,0.4103125095
7.65,0.4103468895
7.70,0.4103785515
7.75,0.4104079723
7.80,0.4104346752
7.85,0.4104595661
7.90,0.4104465485
7.95,0.4103987694
8.00,0.4103184700
8.05,0.4102078915
8.10,0.4100697517
8.15,0.4099052906
8.20,0.4097172737
8.25,0.4095064640
8.30,0.4092748642
8.35,0.4090241909
8.40,0.4087552071
8.45,0.4084696770
8.50,0.4081686974
8.55,0.4078534126
